章节,实体1,QID,关系,实体2,QID.1
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,委托,贾科莫·阿米戈尼,Q380897
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,评价,贾科莫·阿米戈尼,Q380897
第十章,克莱门斯·奥古斯特,Q215086,雇用,贾科莫·阿米戈尼,Q380897
第十章,克莱门斯·奥古斯特,Q215086,雇佣,贾科莫·阿米戈尼,Q380897
第十章,马克西米利安三世·约瑟夫·维特尔斯巴赫,Q57841,赞助,贾科莫·阿米戈尼,Q380897
第十章,斯泰尔斯先生,表中无ID,赞助,贾科莫·阿米戈尼,Q380897
第十章,斯泰尔斯先生,表中无ID,雇佣,贾科莫·阿米戈尼,Q380897
第十章,坦克维尔勋爵,Q5075537,接待,贾科莫·阿米戈尼,Q380897
第十一章,西吉斯蒙德·施特赖特,Q90687,认识,贾科莫·阿米戈尼,Q380897
第十一章,西吉斯蒙德·施特赖特,Q90687,委托,贾科莫·阿米戈尼,Q380897
第七章,萨沃伊尤金大公,Q610738,委托,贾科莫·安东尼奥·博尼,Q1053697
第三章,彼得罗·贝尔尼尼,Q712397,拒绝,贾科莫·博尔戈尼奥内,Q1366347
第三章,古格利尔莫·博尔戈尼奥内,Q1366347,协助,贾科莫·博尔戈尼奥内,Q1366347
第三章,古列尔莫·博尔戈尼奥内,Q1366347,兄弟,贾科莫·博尔戈尼奥内,Q1366347
第三章,吉安·保罗·奥利瓦,Q1229189,委托,贾科莫·博尔戈尼奥内,Q1366347
第五章,米开朗基罗·塞阔齐,Q979862,鼓励,贾科莫·博尔戈尼奥内,Q1366347
第五章,萨尔瓦多·罗萨,Q359421,批评,贾科莫·博尔戈尼奥内,Q1366347
第三章,雅克·库尔图瓦,Q1366347,别称,贾科莫·博尔戈尼奥内,Q1366347
第三章,克里斯蒂娜女王,Q52937,委托,贾科莫·德拉·波塔,Q175566
第十五章,安德里亚·梅莫,Q1052776,朋友,贾科莫·卡萨诺瓦,Q83321
第十五章,安德里亚·梅莫,Q1052776,询问,贾科莫·卡萨诺瓦,Q83321
第十五章,安德里亚·梅莫,Q1052776,通信,贾科莫·卡萨诺瓦,Q83321
第十五章,安德里亚·梅莫,Q1052776,结识,贾科莫·卡萨诺瓦,Q83321
第十五章,安德里亚·梅莫,Q1052776,结交,贾科莫·卡萨诺瓦,Q83321
第十五章,安德里亚·梅莫,Q1052776,咨询,贾科莫·卡萨诺瓦,Q83321
第16章,尤西比奥,Q104804972,结交,贾科莫·卡萨诺瓦,Q83321
第十一章,约瑟夫·史密斯,Q476702,认识,贾科莫·卡西尼,表中无ID
第十章,斯泰尔斯先生,表中无ID,雇用,贾科莫·莱昂尼,Q721253
第十一章,马歇尔·舒伦伯格,Q70910,委托,贾科莫·瑟鲁蒂,Q524248
第十一章,马歇尔·舒伦伯格,Q70910,收藏,贾科莫·瑟鲁蒂动物画像,
第十一章,马歇尔·舒伦伯格,Q70910,收藏,贾科莫·瑟鲁蒂乞丐画像,
第十一章,马歇尔·舒伦伯格,Q70910,收藏,贾科莫·瑟鲁蒂作品,
第七章,马扎林,Q166056,雇用,贾科莫·托雷利,Q357872
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,认识,贾曼巴蒂斯塔·比菲,Q16559762
第八章,费迪南德大公,Q465178,支持,贾钦托·布兰迪,Q1748199
第五章,安德里亚·奥蒂尼,表中无ID,委托,贾辛托·布兰迪,Q1748199
第五章,萨尔瓦多·罗萨,Q359421,交好,贾辛托·布兰迪,Q1748199
第七章,托马斯·伊舍姆爵士,Q16848721,委托,贾辛托·布兰迪,Q1748199
第五章,安德里亚·奥蒂尼,表中无ID,交换,贾辛托·布兰迪作品,
第九章,塞西莉亚·埃莫,表中无ID,担任,检察官,
第九章,亚历山德罗·岑,表中无ID,担任,检察官,
第十二章,新古典主义,,追求,简朴,
第三章,彼得罗·贝尔尼尼,Q712397,制作,讲道辑录插图,
第三章,吉安·保罗·奥利瓦,Q1229189,创作,讲道辑录插图,
第十章,约翰·威廉选帝侯,Q64266,购买,焦尔达诺作品,
第九章,保罗·法里纳蒂,Q367287,创作,焦瓦内利家族藏品,
第九章,保罗·法里纳蒂,Q367287,创作,焦瓦内利家族藏品,
第九章,弗朗西斯科·祖卡雷利,Q919093,创作,焦瓦内利家族藏品,
第九章,吉安·巴蒂斯塔·皮亚泽塔,Q282670,创作,焦瓦内利家族藏品,
第十二章,伽利略,Q307,受禁,教皇,
第十五章,卡洛·雷佐尼科,Q133121,担任,教皇,
第五章,卡米洛·罗斯皮格里奥西,表中无ID,助理,教皇,
第九章,克莱门特十三世,Q133121,担任,教皇,
第一章序言,马菲奥·巴尔贝里尼,Q131579,当选,教皇,
第三章,马菲奥·巴尔贝里尼,Q131579,当选,教皇,
第一章,枢机主教卢多维西,Q707750,当选,教皇,
第六章,唐·加斯帕罗·阿尔蒂里,Q27999316,侄子,教皇,
第六章,皮埃特罗·奥托博尼,Q101294,担任,教皇副总理,
第三章,皮埃尔·莱格罗斯,Q2093685,创作,教皇格里高利十五世纪念碑,
第六章,卡米洛·阿斯托利,Q2935133,修建,教皇宫,
第六章,亚历山德罗·阿尔加迪,Q336798,接受,教皇家族别墅订单,
第六章,尼科洛·萨格雷多,Q1243577,评论,教皇建设活动,
第16章,塞洛蒂,Q113774991,收藏,教皇教堂合唱书,
第六章,朱利奥·罗斯皮廖西,Q155961,成为,教皇克莱门特九世,Q155961
第十五章,卡洛·雷佐尼科,Q133121,担任,教皇克莱门特十三世,Q133121
第一章序言,乔瓦尼·弗朗切斯科·阿尔巴尼,Q129967,成为,教皇克莱门特十一世,Q129967
第六章,彼得罗·贝尔尼尼,Q712397,修建,教皇陵墓,
第六章,卡米洛·阿斯托利,Q2935133,担任,教皇使节,
第八章,托马索·鲁福,Q2661419,担任,教皇特使,
第八章,托马索·鲁福,Q2661419,担任,教皇图像顾问,
第八章,安德里亚·德尔·罗索,表中无ID,担任,教皇信使总管,
第六章,法比奥·奇吉,Q127254,成为,教皇亚历山大七世,Q127254
第五章,卡米洛·帕姆菲利,Q2935138,侄子,教皇因诺森特十世,Q101266
第六章,詹巴蒂斯塔·帕姆菲利,表中无ID,成为,教皇因诺森特十世,Q101266
第一章序言,教皇克莱门特十一世,Q129967,继任,教皇因诺森特十一世,Q129967
第十七章,马蒂诺·隆吉,Q349522,担任,教堂第二任建筑师,
第十章,迪特里希,Q536581,制作,教堂祭坛画,
第十章,乔万尼·巴蒂斯塔·西马洛里,Q3766629,制作,教堂祭坛画,
第十章,皮亚泽塔,Q282670,制作,教堂祭坛画,
第十七章,耶稣会,,委托,教堂装饰,
第四章,马斯西米,Q3297734,担任,教廷大使,
第十一章,西吉斯蒙德·施特赖特,Q90687,委托,教育性寓言画系列,
第十一章,朱塞佩·诺加里,Q465422,创作,教育性寓言画系列,
第五章,萨索费拉托,Q1345289,创作,节制的灵修画,
第二章,彼得罗·达·科尔托纳,Q333323,创作,劫夺萨宾妇女,
第八章,费迪南德大公,Q465178,收藏,杰拉德·范·德·博斯作品,
第八章,加斯帕尔·如莫尔,Q3098722,收藏,杰拉德·范·德·博斯作品,
第十二章,拉扎罗·里维埃拉,表中无ID,出版,解释性小册子,
第八章,亚历山德罗·马尔凯西尼,Q3460024,职责,经纪人,
第16章,朱塞佩·玛丽亚·奥尔特斯,表中无ID,是,经济学家,
第十五章,汤马索·朱塞佩,Q53564852,收藏,精美书籍,
第二章,彼得罗·达·科尔托纳,Q333323,创作,酒神巴库斯的胜利,
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,委托,酒神与阿里阿德涅,
第二章,罗曼内利,Q2983846,创作,酒神与阿里阿德涅,
第六章,皮埃特罗·奥托博尼,Q101294,委托,剧院舞台布景设计,
第十一章,马歇尔·舒伦伯格,Q70910,曾任,军事指挥官,
第十五章,安德里亚·梅莫,Q1052776,驻扎,君士坦丁堡,
第十五章,安德里亚·梅莫,Q1052776,担任,君士坦丁堡大使,
第六章,彼得罗·贝尔尼尼,Q712397,创作,君士坦丁大帝雕像,
第六章,彼得罗·贝尔尼尼,Q712397,设计,君士坦丁雕像,
第十章,佩莱格里尼,Q1358364,装饰,卡多根勋爵乡间别墅,
第十章,迪特里希,Q536581,效力,卡尔·菲利普·冯·格里芬克劳,Q95296
第十章,迪特里希,Q536581,绘制,卡尔·菲利普·冯·格里芬克劳委托作品,
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,朋友,卡尔·古斯塔夫·泰辛,Q1038496
第十三章,安东尼奥·玛丽亚·扎内蒂(老),Q944948,结识,卡尔·古斯塔夫·泰辛,Q1038496
第八章,费迪南德大公,Q465178,赞助,卡尔·罗思,Q670135
第八章,费迪南德大公,Q465178,收藏,卡尔·罗思作品,
第七章,埃克塞特勋爵五世,表中无ID,委托,卡尔洛·多尔奇,Q503322
第一章,托马斯·贝恩斯爵士,表中无ID,委托,卡尔洛·多尔奇,Q503322
第七章,约翰·芬奇,Q6233132,委托,卡尔洛·多尔奇,Q503322
第七章,萨沃伊尤金大公,Q610738,委托,卡尔洛·卡洛恩,Q1041995
第十一章,马歇尔·舒伦伯格,Q70910,雇佣,卡尔洛·西格纳尼,Q239980
第九章,芝诺比奥家族,,购买,卡尔米尼宫,
第九章,塞巴斯蒂安·里奇,Q26878812,绘制,卡尔米尼教堂壁画,
第九章,加斯帕雷·迪齐亚尼,Q744250,绘制,卡尔米尼教堂作品,
第九章,扎卡里亚·萨格雷多,Q97446740,购买,卡拉奇素描,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡拉奇作品,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡拉奇作品,
第十七章,德尔·蒙特,Q140106,影响,卡拉瓦乔,Q42207
第五章,吉安·彼得罗·贝洛里,Q714400,谴责,卡拉瓦乔,Q42207
第四章,卡西亚诺·达尔·波佐,Q1048333,收藏,卡拉瓦乔,Q42207
第十七章,路易吉·斯佩扎费罗,Q19754023,研究,卡拉瓦乔,Q42207
第四章,马尔凯塞·朱斯蒂尼亚尼,Q1396468,收藏,卡拉瓦乔,Q42207
第十七章,马菲奥·巴尔贝里尼,Q131579,委托,卡拉瓦乔,Q42207
第十七章,枢机主教德尔·蒙特,Q140106,赞助,卡拉瓦乔,Q42207
第五章,瓦伦丁,Q1337275,引荐,卡拉瓦乔,Q42207
第二章,维琴佐·朱斯蒂尼亚尼,Q25206732,赞助,卡拉瓦乔,Q42207
第五章,文森佐·古斯蒂尼阿尼,Q25206732,评论,卡拉瓦乔,Q42207
第三章,亚历山德罗·维特里切,Q4716445,委托,卡拉瓦乔,Q42207
第一章,马尔凯塞·朱斯蒂尼亚尼,Q1396468,收藏,卡拉瓦乔祭坛画,
第一章,瓦伦丁·德·布洛涅,Q1337275,专攻,卡拉瓦乔式场景风格,
第十七章,吉安·彼得罗·贝洛里,Q714400,记录,卡拉瓦乔信息,
第十七章,德尔·蒙特藏品,,影响,卡拉瓦乔艺术,
第五章,法国画商瓦伦丁,Q1337275,购买,卡拉瓦乔早期作品,
第十七章,唐纳德·波斯纳,Q18934914,研究,卡拉瓦乔早期作品,
第八章,加斯帕尔·如莫尔,Q3098722,收藏,卡拉瓦乔作品,
第四章,卡西亚诺,Q1048333,收藏,卡拉瓦乔作品,
第八章,托马索·鲁福,Q2661419,收藏,卡拉瓦乔作品,
第16章,乔万尼·玛利亚·萨索,Q56007029,收藏,卡莱瓦里作品,
第16章,乔万尼·玛利亚·萨索,Q56007029,收藏,卡莱瓦里作品,
第16章,朱塞佩·托尼诺托,表中无ID,收藏,卡莱瓦里作品,
第十二章,安东尼奥·孔蒂,Q2087202,结识,卡勒斯伯爵,表中无ID
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,认识,卡罗·洛多利,Q601642
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,认识,卡罗·帕莱塞,Q124360716
第十七章,欧文·拉文,Q19753933,驳斥,卡罗琳娜·兰科伦斯卡,Q468466
第十七章,加布里埃尔·达尔·波佐,Q107060274,儿子,卡洛·安东尼奥·达尔·波佐,Q3659007
第十二章,威尼斯,,驱逐,卡洛·安东尼奥·皮拉蒂,Q3658875
第十三章,詹巴蒂斯塔·帕斯夸里,表中无ID,朋友,卡洛·安东尼奥·皮拉蒂,Q3658875
第二章,乌尔班八世,Q131579,任命,卡洛·巴尔贝里尼,Q1186836
第二章,亚历山德罗·阿尔加迪,Q336798,创作,卡洛·巴尔贝里尼雕像,
第二章,彼得罗·贝尔尼尼,Q712397,创作,卡洛·巴尔贝里尼雕像头部,
第十一章,西吉斯蒙德·施特赖特,Q90687,认识,卡洛·丹妮娜,Q556342
第五章,路易吉·博凯里尼,Q189766,兄弟,卡洛·德·罗西,表中无ID
第五章,萨尔瓦多·罗萨,Q359421,合作,卡洛·德·罗西,表中无ID
第五章,萨尔瓦多·罗萨,Q359421,赠画,卡洛·德·罗西,表中无ID
第五章,萨尔瓦多·罗萨,Q359421,争执,卡洛·德·罗西,表中无ID
第一章,孔戴·文图拉·卡拉拉,表中无ID,委托,卡洛·夸里斯梅尼,表中无ID
第十五章,菲利波·法尔塞蒂,Q16556042,堂兄弟,卡洛·雷佐尼科,Q133121
第十二章,阿巴特·法西奥拉蒂,Q3157640,友好,卡洛·洛多利,Q601642
第十五章,安德里亚·梅莫,Q1052776,学生,卡洛·洛多利,Q601642
第十五章,安德里亚·梅莫,Q1052776,出版,卡洛·洛多利,Q601642
第十五章,安德里亚·梅莫,Q1052776,尊敬,卡洛·洛多利,Q601642
第十五章,安德里亚·梅莫,Q1052776,赞颂,卡洛·洛多利,Q601642
第十五章,安德里亚·梅莫,Q1052776,师从,卡洛·洛多利,Q601642
第十五章,安吉洛·奎里尼,Q536447,学生,卡洛·洛多利,Q601642
第十五章,安吉洛·奎里尼,Q536447,出版,卡洛·洛多利,Q601642
第十五章,安吉洛·奎里尼,Q536447,尊敬,卡洛·洛多利,Q601642
第十五章,安吉洛·奎里尼,Q536447,学习,卡洛·洛多利,Q601642
第十五章,安吉洛·奎里尼,Q536447,崇拜,卡洛·洛多利,Q601642
第十五章,安吉洛·奎里尼,Q536447,师从,卡洛·洛多利,Q601642
第十五章,菲利波·法尔塞蒂,Q16556042,尊敬,卡洛·洛多利,Q601642
第十二章,卡纳莱托,Q182664,结识,卡洛·洛多利,Q601642
第十二章,维森蒂尼,Q605690,结识,卡洛·洛多利,Q601642
第十二章,维特鲁威,Q47163,影响,卡洛·洛多利,Q601642
第一章,亚历山德罗·隆吉,Q1855242,绘制,卡洛·洛多利,Q601642
第十三章,詹巴蒂斯塔·帕斯夸里,表中无ID,敬佩,卡洛·洛多利,Q601642
第十五章,安德里亚·梅莫,Q1052776,出版,卡洛·洛多利辩解词,
第十二章,安德里亚·梅莫,Q1052776,解释,卡洛·洛多利理论,
第十五章,安德里亚·梅莫,Q1052776,传播,卡洛·洛多利思想,
第十五章,安吉洛·奎里尼,Q536447,传播,卡洛·洛多利思想,
第十五章,安吉洛·奎里尼,Q536447,推崇,卡洛·洛多利思想,
第十二章,弗朗西斯·培根,Q37388,影响,卡洛·洛多利思想,
第十二章,巴托罗梅奥·纳扎里,Q465240,绘制,卡洛·洛多利肖像,
第十二章,亚历山德罗·隆吉,Q1855242,绘制,卡洛·洛多利肖像,
第十七章,霍华德·希巴德,Q12020451,研究,卡洛·马德诺,Q122328
第三章,枢机主教佩雷蒂蒙塔尔托,Q133350,聘请,卡洛·马德诺,Q122328
第二章,安东尼奥·巴尔贝里尼,Q599744,委托,卡洛·马拉塔,Q538998
第二章,安东尼奥·巴尔贝里尼,Q599744,转向,卡洛·马拉塔,Q538998
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,委托,卡洛·马拉塔,Q538998
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,委托,卡洛·马拉塔,Q538998
第一章,查尔斯·福克斯,表中无ID,委托,卡洛·马拉塔,Q538998
第六章,吉安·彼得罗·贝洛里,Q714400,支持,卡洛·马拉塔,Q538998
第六章,吉安·彼得罗·贝洛里,Q714400,协助,卡洛·马拉塔,Q538998
第六章,吉安·彼得罗·贝洛里,Q714400,偏爱,卡洛·马拉塔,Q538998
第四章,卡米洛·马西斯米,Q1081427,委托,卡洛·马拉塔,Q538998
第四章,卡米洛·马西斯米,Q1081428,监督,卡洛·马拉塔,Q538998
第六章,卡米洛·马西斯米,Q1081418,推荐,卡洛·马拉塔,Q538998
第六章,克莱门特九世,Q155961,委托,卡洛·马拉塔,Q538998
第六章,克莱门特九世,Q155961,赞助,卡洛·马拉塔,Q538998
第六章,克莱门特十世,Q155956,赞助,卡洛·马拉塔,Q538998
第六章,洛伦佐·奥诺弗里奥·科隆纳,Q3837032,委托,卡洛·马拉塔,Q538998
第七章,马尔凯斯·德尔·卡皮奥,Q380763,委托,卡洛·马拉塔,Q538998
第三章,内格罗尼主教,Q3105203,委托,卡洛·马拉塔,Q538998
第三章,神职界修会,,委托,卡洛·马拉塔,Q538998
第一章,托马斯·伊舍姆爵士,Q16848721,委托,卡洛·马拉塔,Q538998
第七章,托马斯·伊舍姆爵士,Q16848721,委托,卡洛·马拉塔,Q538998
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,收藏,卡洛·马拉塔作品,
第八章,托马索·鲁福,Q2661419,委托,卡洛·奇尼亚尼,Q239980
第八章,加斯帕尔·如莫尔,Q3098722,收藏,卡洛·沙拉契尼作品,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡洛·西格纳尼讽刺画系列,
第十三章,洛多维科·弗内莱托,Q106498283,委托,卡纳莱托,Q182664
第四章,彼得罗·泰斯塔,Q2155480,绘制,卡米洛·马斯西米,Q1081418
第四章,克莱门特十世,Q155956,任命,卡米洛·马斯西米,Q1081418
第四章,帕加尼诺·高登齐,Q2046132,通信,卡米洛·马斯西米,Q1081418
第四章,帕加尼诺·高登齐,Q2046132,创作,卡米洛·马斯西米,Q1081418
第四章,亚历山大七世,Q127254,任命,卡米洛·马斯西米,Q1081418
第四章,卡洛·马拉塔,Q538998,绘制,卡米洛·马斯西米肖像,
第四章,委拉斯贵支,Q297,绘制,卡米洛·马斯西米肖像,
第六章,埃尔科莱·费拉塔,Q1348674,争议,卡米洛·帕姆菲利,Q2935138
第六章,弗兰西斯科·巴拉塔,Q5479199,争议,卡米洛·帕姆菲利,Q2935138
第六章,卡米洛·阿斯托利,Q2935133,继承,卡米洛·帕姆菲利,Q2935138
第六章,唐娜·奥林匹娅,Q260170,反对,卡米洛·帕姆菲利,Q2935138
第四章,因诺森特十世,Q101266,提拔,卡米洛·帕姆菲利,Q2935138
第六章,阿尔加迪,Q336798,设计,卡米洛·帕姆菲利亲王别墅,
第十七章,W.G.康斯太勃尔,Q8009777,研究,卡纳莱托,Q182664
第十二章,安东尼奥·孔蒂,Q2087202,赞扬,卡纳莱托,Q182664
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,欣赏,卡纳莱托,Q182664
第十一章,贝德福德公爵约翰·拉塞尔,Q335406,雇佣,卡纳莱托,Q182664
第十章,查尔斯·德·布罗塞斯,Q725718,评论,卡纳莱托,Q182664
第十一章,弗朗西斯科·阿尔加罗蒂,Q439081,认识,卡纳莱托,Q182664
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,赞美,卡纳莱托,Q182664
第十章,贾科莫·阿米戈尼,Q380897,邀请,卡纳莱托,Q182664
第十一章,卡莱尔伯爵,表中无ID,雇佣,卡纳莱托,Q182664
第十一章,罗伯特·赫维爵士,表中无ID,雇佣,卡纳莱托,Q182664
第十一章,马歇尔·舒伦伯格,Q70910,委托,卡纳莱托,Q182664
第十一章,马歇尔·舒伦伯格,Q70910,联系,卡纳莱托,Q182664
第十章,麦克斯威尼,Q5102690,邀请,卡纳莱托,Q182664
第十章,麦克斯威尼,Q5102690,委托,卡纳莱托,Q182664
第十章,欧文·麦克斯维尼,Q5102690,委托,卡纳莱托,Q182664
第十章,威廉·贝克福德,Q361026,评论,卡纳莱托,Q182664
第十一章,西吉斯蒙德·施特赖特,Q90687,赞助,卡纳莱托,Q182664
第十一章,西吉斯蒙德·施特赖特,Q90687,联系,卡纳莱托,Q182664
第十一章,约瑟夫·史密斯,Q476702,推荐,卡纳莱托,Q182664
第十一章,约瑟夫·史密斯,Q476702,委托,卡纳莱托,Q182664
第十一章,约瑟夫·史密斯,Q476702,委托,卡纳莱托,Q182664
第十一章,约瑟夫·史密斯,Q476702,赞助,卡纳莱托,Q182664
第十一章,约瑟夫·史密斯,Q476702,联系,卡纳莱托,Q182664
第九章,扎卡里亚·萨格雷多,Q97446740,雇佣,卡纳莱托,Q182664
第十七章,威廉·巴查姆,Q61472468,分析,卡纳莱托16世纪建筑幻想性外立面绘画,
第十章,约瑟夫·斯密斯,Q476702,经营,卡纳莱托风景画,
第十章,托马斯·罗兰德森,Q318584,借鉴,卡纳莱托绘画技法,
第16章,乔万尼·玛利亚·萨索,Q56007029,收藏,卡纳莱托素描,
第十章,伯尼博士,Q547002,评论,卡纳莱托威尼斯风景画,
第十一章,约瑟夫·史密斯,Q476702,赞助,卡纳莱托威尼斯风景画系列,
第十章,威廉·贝克福德,Q361026,评论,卡纳莱托威尼斯画作,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡纳莱托英国风景画,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡纳莱托英国风景画,
第十三章,扎内蒂,Q944948,收藏,卡纳莱托早期作品,
第十三章,安东尼奥·玛丽亚·扎内蒂(老),Q944948,收藏,卡纳莱托作品,
第16章,贾科莫·德拉·莱纳,表中无ID,收藏,卡纳莱托作品,
第16章,贾科莫·德拉·莱纳,表中无ID,拥有,卡纳莱托作品,
第16章,塞洛蒂,Q113774991,收藏,卡纳莱托作品,
第16章,塞洛蒂,Q113774991,收藏,卡纳莱托作品,
第16章,塞洛蒂,Q113774991,销售,卡纳莱托作品,
第十二章,史密斯领事,Q476702,收藏,卡纳莱托作品,
第16章,斯特兰奇,表中无ID,购买,卡纳莱托作品,
第十七章,泰奥多罗·科雷尔,Q2403974,收藏,卡纳莱托作品,
第十章,泰辛伯爵,Q1038496,收藏,卡纳莱托作品,
第十章,泰辛伯爵,Q1038496,购买,卡纳莱托作品,
第十一章,西吉斯蒙德·施特赖特,Q90687,收藏,卡纳莱托作品,
第十章,约瑟夫·史密斯,Q476702,经营,卡纳莱托作品,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡纳莱托作品,
第十一章,约瑟夫·史密斯,Q476702,购买,卡纳莱托作品,
第十七章,约瑟夫·史密斯,Q476702,收藏,卡纳莱托作品,
第十三章,扎内蒂,Q944948,收藏,卡纳莱托作品,
第十章,贝鲁奇,Q302062,装饰,卡农庄园,
第十章,布加迪,Q18576264,装饰,卡农庄园,
第十章,弗朗西斯科·斯莱特,Q5479579,装饰,卡农庄园,
第16章,阿马德奥·斯瓦杰,德国商人，无ID,委托,卡诺瓦,Q5547
第16章,阿马德奥·斯瓦杰,德国商人，无ID,委托,卡诺瓦,Q5547
第十五章,安吉洛·奎里尼,Q536447,委托,卡诺瓦,Q5547
第十五章,安吉洛·奎里尼,Q536447,委托,卡诺瓦,Q5547
第十五章,安东尼奥·卡佩罗,Q15731838,制作,卡诺瓦本人雕像,
第十五章,乔凡尼·法拉利,Q3767219,委托,卡诺瓦本人雕像,
第十五章,安吉洛·奎里尼,Q536447,收藏,卡诺瓦早期作品,
第十五章,安吉洛·奎里尼,Q536447,收藏,卡诺瓦作品,
第16章,乔瓦尼·德尔·皮安,Q48688385,创作,卡帕乔版画,
第16章,朱塞佩·托尼诺托,表中无ID,出版,卡帕乔版画,
第16章,朱塞佩·托尼诺托,表中无ID,出版,卡帕乔版画集,
第16章,乔瓦尼·德尔·皮安,Q48688385,创作,卡帕乔版画系列,
第八章,《亨特肖像》,,作者,卡萨纳,Q3341172
第16章,尤西比奥,Q104804972,结交,卡萨诺瓦,Q83321
第二章,乌尔班八世,Q131579,发动,卡斯楚战争,
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,雕刻,卡斯蒂廖内,Q40823
第九章,弗朗切斯科·阿尔加罗蒂,Q439081,评论,卡斯蒂廖内,Q40823
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,评价,卡斯蒂廖内,Q40823
第五章,西蒙内利,Q97072945,出版,卡斯蒂廖内,Q40823
第九章,安东尼奥·扎内蒂,Q18507790,制作,卡斯蒂廖内版画,
第九章,老安东尼奥·扎内蒂,Q944948,制作,卡斯蒂廖内版画,
第九章,安东尼奥·马利亚·扎内蒂,Q944948,收藏,卡斯蒂廖内素描,
第九章,弗朗切斯科·阿尔加罗蒂,Q439081,收藏,卡斯蒂廖内素描,
第十三章,扎内蒂,Q944948,雕刻,卡斯蒂廖内素描,
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,收藏,卡斯蒂廖内作品,
第十三章,安东尼奥·玛丽亚·扎内蒂(老),Q944948,购买,卡斯蒂廖内作品,
第九章,迪特里希,Q536581,研究,卡斯蒂廖内作品,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,赞赏,卡斯蒂廖内作品,
第十三章,盖塔诺·佐皮尼,Q3757163,雕刻,卡斯蒂廖内作品,
第十一章,马歇尔·舒伦伯格,Q70910,收藏,卡斯蒂廖内作品,
第十三章,尤金王子,Q152428,收藏,卡斯蒂廖内作品,
第十一章,约瑟夫·史密斯,Q476702,收藏,卡斯蒂廖内作品,
第九章,扎卡里亚·萨格雷多,Q97446740,收藏,卡斯蒂廖内作品,
第十三章,扎内蒂,Q944948,购买,卡斯蒂廖内作品,
第二章,彼得罗·达·科尔托纳,Q333323,装饰,卡斯特·富萨诺别墅,
第二章,安德里亚·萨基,Q495008,创作,卡斯特·富萨诺别墅装饰画,
第八章,费迪南德大公,Q465178,拥有,卡斯特洛别墅,
第十七章,阿尔芒·让·德·普莱西·德·黎塞留,,不及,卡西亚诺·达尔·波佐,Q1048333
第一章,彼得罗·贝尔尼尼,Q712397,讽刺,卡西亚诺·达尔·波佐,Q1048333
第四章,彼得罗·泰斯塔,Q2155480,创作,卡西亚诺·达尔·波佐,Q1048333
第四章,布克哈特,Q3166189,遗赠,卡西亚诺·达尔·波佐,Q1048333
第四章,布克哈特,Q3166189,通信,卡西亚诺·达尔·波佐,Q1048333
第四章,布克哈特,Q3166189,拜访,卡西亚诺·达尔·波佐,Q1048333
第十七章,德安德烈斯,Q87591265,讨论,卡西亚诺·达尔·波佐,Q1048333
第五章,费兰特·卡洛,Q98111606,结交,卡西亚诺·达尔·波佐,Q1048333
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,结识,卡西亚诺·达尔·波佐,Q1048333
第十七章,哈里斯,Q18934849,讨论,卡西亚诺·达尔·波佐,Q1048333
第十七章,卡洛·安东尼奥·达尔·波佐,Q21555612,兄弟,卡西亚诺·达尔·波佐,Q1048333
第四章,克里斯蒂娜女王,Q52937,通信,卡西亚诺·达尔·波佐,Q1048333
第四章,帕加尼诺·高登齐,Q2046132,交流,卡西亚诺·达尔·波佐,Q1048333
第四章,乌尔班八世,Q131579,任命,卡西亚诺·达尔·波佐,Q160538
第四章,乌尔班八世,Q131579,任命,卡西亚诺·达尔·波佐,Q1048333
第十七章,布雷容,Q27499745,研究,卡西亚诺·达尔·波佐藏品清单,
第一章,彼得罗·贝尔尼尼,Q712397,创作,卡西亚诺·达尔·波佐讽刺画,
第四章,彼得罗·贝尔尼尼,Q712397,制作,卡西亚诺·达尔·波佐头像模型,
第四章,帕加尼诺·高登齐,Q2046132,提供,卡西亚诺·达尔·波佐肖像,
第四章,西蒙·沃特,Q317920,绘制,卡西亚诺·达尔·波佐肖像,
第四章,西蒙·沃特,Q317920,创作,卡西亚诺肖像,
