Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category,Wikidata_QID,Wikidata_Label,Wikidata_Description,Wikidata_Candidates
Index,Unmatched (Index),"Wouwermans, Philips",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Philips Wouwermans,Person,Q454671,Philips Wouwerman,painter from the Northern Netherlands (1619-1668),Q454671 (Philips Wouwerman: painter from the Northern Netherlands (1619-1668))
Index,Unmatched (Index),"Wynne, Giustiniana (Mme Rosenberg)",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Giustiniana Wynne,Person,Q466860,Giustiniana Wynne,Italian writer,Q466860 (Giustiniana Wynne: Italian writer)
Index,Unmatched (Index),Würzburg Residenz,E53 Place,,,,UVWXYZ,Unmatched Index Entry,Würzburg Residenz,Place,Q156316,Würzburg Residence,"cultural heritage monument D-6-63-000-454 (0) in Würzburg, Bavaria","Q156316 (Würzburg Residence: cultural heritage monument D-6-63-000-454 (0) in Würzburg, Bavaria)"
Index,Unmatched (Index),"Xavier, St Francis",E21 Person,,,,UVWXYZ,Unmatched Index Entry,St Francis Xavier,Person,Q3087388,São Francisco Xavier,civil parish in Macau,"Q3087388 (São Francisco Xavier: civil parish in Macau) | Q5117037 (St Francis Xavier: church in Liverpool, United Kingdom) | Q7588008 (St Francis Xavier's College: school in Liverpool, UK) | Q117037264 (St Francis Xavier: RO-RO built in 1991) | Q2183354 (St Francis Xavier Church, Enkhuizen: Roman Catholic church in Enkhuizen, Netherlands)"
Index,Unmatched (Index),"Zaguri, Pietro",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Pietro Zaguri,Person,Q3903649,Pietro Antonio Zaguri,venetian politician and architect,Q3903649 (Pietro Antonio Zaguri: venetian politician and architect)
Index,Unmatched (Index),"Zambeccari, Marchesa Eleonora",E22 Man-Made Object,,,,UVWXYZ,Unmatched Index Entry,Eleonora Zambeccari,Person (Reclassified),,,,No match found
Index,Unmatched (Index),Zambelli family,E74 Group,,,,UVWXYZ,Unmatched Index Entry,Zambelli family,Place,,,,No match found
Index,Unmatched (Index),"Zambelli, Dr Paola",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Paola Zambelli,Person,Q5936529,Paola Zambelli,Italian philosophy historian (1936-),Q5936529 (Paola Zambelli: Italian philosophy historian (1936-))
Index,Unmatched (Index),"Zanetti, A. M., the Elder",E21 Person,,,,UVWXYZ,Unmatched Index Entry,"A. M., the Elder Zanetti",Person,,,,No match found
Index,Unmatched (Index),"Zanetti, A. M., the Younger",E21 Person,,,,UVWXYZ,Unmatched Index Entry,"A. M., the Younger Zanetti",Person,,,,No match found
Index,Unmatched (Index),"Zanetti, Domenico",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Domenico Zanetti,Person,Q1237287,Domenico Zanetti,Italian painter (1694-1712),Q1237287 (Domenico Zanetti: Italian painter (1694-1712))
Index,Unmatched (Index),"Zanotti, F. M.",E21 Person,,,,UVWXYZ,Unmatched Index Entry,F. M. Zanotti,Person,,,,No match found
Index,Unmatched (Index),"Zen, Procurator Alessandro",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Procurator Alessandro Zen,Person,,,,No match found
Index,Unmatched (Index),Zenobio family,E74 Group,,,,UVWXYZ,Unmatched Index Entry,Zenobio family,Place,,,,No match found
Index,Unmatched (Index),Zenobio palace,E22 Man-Made Object,,,,UVWXYZ,Unmatched Index Entry,Palazzo Zenobio,Place (Reclassified),,,,No match found
Index,Unmatched (Index),"Zuccari, Federigo",E21 Person,,,,UVWXYZ,Unmatched Index Entry,Federigo Zuccari,Person,Q345605,Federico Zuccari,Italian painter (1539-1609),"Q345605 (Federico Zuccari: Italian painter (1539-1609)) | Q3741952 (Federigo Zuccari: Italian astronomer, director of the Observatory of Naples (1783-1817))"
Index,Unmatched (Index),"den Einden, Ferdinand van",E21 Person,,,,D,Unmatched Index Entry,Ferdinand van den Einden,Person,,,,No match found
Index,Unmatched (Index),"den Einden, Jan van",E21 Person,,,,D,Unmatched Index Entry,Jan van den Einden,Person,,,,No match found
Manual,Unmatched (Manual),,,,A308,,work-English_table.csv,Unmatched Manual & Non-Q ID,,,,,,
Manual,Unmatched (Manual),,,,A315,,work-English_table.csv,Unmatched Manual & Non-Q ID,,,,,,
Manual,Unmatched (Manual),,,,A331,,work-English_table.csv,Unmatched Manual & Non-Q ID,,,,,,
Manual,Unmatched (Manual),,,,A8,,work-English_table.csv,Unmatched Manual & Non-Q ID,,,,,,
Manual,Unmatched (Manual),,,A.M. Zanetti the Elder with Marchese Gerini,A2,,work-English_table.csv,Unmatched Manual & Non-Q ID,A.M. Zanetti the Elder with Gerini,Person (Reclassified),,,,No match found
Manual,Unmatched (Manual),,,Abigail giving Presents to David,A3,,work-English_table.csv,Unmatched Manual & Non-Q ID,Abigail giving Presents to David,Work,,,,No match found
Manual,Unmatched (Manual),,,Academy at Parma,G35,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Academy at Parma,Place,,,,No match found
Manual,Unmatched (Manual),,,Accademia dei Cacadubbi,G33,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Accademia dei Cacadubbi,Place,,,,No match found
Manual,Unmatched (Manual),,,Accbremia Albrizziana,G94,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Accbremia Albrizziana,Place,,,,No match found
Manual,Unmatched (Manual),,,Achille Bosisio,R1,,name-English_table.csv,Unmatched Manual & Non-Q ID,Achille Bosisio,Person,,,,No match found
Manual,Unmatched (Manual),,,Addison,A4,,work-English_table.csv,Unmatched Manual & Non-Q ID,Addison,Work,Q21069215,Addison,unisex given name,Q21069215 (Addison: unisex given name) | Q353095 (Addison: town in Vermont) | Q353120 (Addison Emery Verrill: U.S. zoologist (1839–1926)) | Q16001762 (Addison: family name) | Q719973 (Mort Walker: American comic strip cartoonist (1923–2018))
Manual,Unmatched (Manual),,,Adoration of the Magi,A5,,work-English_table.csv,Unmatched Manual & Non-Q ID,Adoration of the Magi,Work,Q488841,adoration of the Magi,name given to the Christian subject in the Nativity of Jesus in art in which the three Magi worship Jesus,Q488841 (adoration of the Magi: name given to the Christian subject in the Nativity of Jesus in art in which the three Magi worship Jesus) | Q122664454 (Adoration of the Magi: painting by Bertholet Flémal (ca 1652)) | Q134613310 (Adoration of the Magi: painting by Jan de Bray (HMB)) | Q135446302 (Adoration of the Magi: painting by Bartholomaeus Bruyn the Elder) | Q133868083 (Adoration of the Magi: painting by Bittino da Faenza)
Manual,Unmatched (Manual),,,Aedes Barberina ad Quirinalem,A7,,work-English_table.csv,Unmatched Manual & Non-Q ID,Aedes Barberina ad Quirinalem,Work,,,,No match found
Manual,Unmatched (Manual),,,Aeneid,A416,,work-English_table.csv,Unmatched Manual & Non-Q ID,Aeneid,Work,Q60220,Aeneid,epic poem by Virgil,Q60220 (Aeneid: epic poem by Virgil) | Q19537658 (Eneida: 1854 Portuguese translation by Mendes) | Q19031184 (The Æneid of Virgil: 1866 UK edition of the English translation by Conington) | Q32842497 (Eneida: Spanish Wikisource translation) | Q32842339 (Eneida: Spanish translation by Ochoa)
Manual,Unmatched (Manual),,,Albergo del Moretto,G8,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Albergo del Moretto,Place,,,,No match found
Manual,Unmatched (Manual),,,Alberto Vecchi,R2,,name-English_table.csv,Unmatched Manual & Non-Q ID,Alberto Vecchi,Person,Q131758432,Alberto Vecchi,,Q131758432 (Alberto Vecchi: ) | Q56477570 (Alberto Vecchio: researcher) | Q86218156 (Alberto Vecchi: Italian university teacher) | Q100577168 (Alberto Vecchietti: [occupation:giornalista; soggettista; sceneggiatore cinematografico] [dates:1908]) | Q23762658 (Alberto Vecchio: Italian physicist (1930–2018))
Manual,Unmatched (Manual),,,Alessandro Vasalli,R3,,name-English_table.csv,Unmatched Manual & Non-Q ID,Alessandro Vasalli,Person,,,,No match found
Manual,Unmatched (Manual),,,Alessandro Zen,R4,,name-English_table.csv,Unmatched Manual & Non-Q ID,Alessandro Zen,Person,,,,"Q57013250 (Alessandro Zennaro: researcher) | Q57978509 (Alessandro Zenesini: researcher, ORCID id # 0000-0001-8035-3348) | Q117313737 (Alessandro Zenobi: technician at IRB-USI) | Q3610383 (Alessandro Zenatello: Italian painter (1891-1977))"
Manual,Unmatched (Manual),,,Alfredo Bardella,R5,,name-English_table.csv,Unmatched Manual & Non-Q ID,Alfredo Bardella,Person,,,,No match found
Manual,Unmatched (Manual),,,Alice Binion,R6,,name-English_table.csv,Unmatched Manual & Non-Q ID,Alice Binion,Person,,,,No match found
Manual,Unmatched (Manual),,,Allegory of Clemency,A9,,work-English_table.csv,Unmatched Manual & Non-Q ID,Allegory of Clemency,Work,,,,No match found
Manual,Unmatched (Manual),,,Allegory of Coral fishing,A10,,work-English_table.csv,Unmatched Manual & Non-Q ID,Allegory of Coral fishing,Work,,,,No match found
Manual,Unmatched (Manual),,,Allegory of Rome,A11,,work-English_table.csv,Unmatched Manual & Non-Q ID,Allegory of Rome,Work,Q126075179,Allegory of Rome,copper engraving print by Hendrick Goltzius (B 1954.01),Q126075179 (Allegory of Rome: copper engraving print by Hendrick Goltzius (B 1954.01)) | Q108758158 (Allegory of Rome: drawing by Giovanni Mauro della Rovere (il Fiammenghino))
Manual,Unmatched (Manual),,,Allegory of Venice,A14,,work-English_table.csv,Unmatched Manual & Non-Q ID,Allegory of Venice,Work,Q50947952,Allegory of Venice,"painting by Paolo Veronese, Szépművészeti Múzeum","Q50947952 (Allegory of Venice: painting by Paolo Veronese, Szépművészeti Múzeum)"
Manual,Unmatched (Manual),,,Allegory of the Arts,A12,,work-English_table.csv,Unmatched Manual & Non-Q ID,Allegory of the Arts,Work,Q27974834,Allegory of the Arts,"painting by Bernardo (Il Cappuccino, Il Prete Genovese) Strozzi","Q27974834 (Allegory of the Arts: painting by Bernardo (Il Cappuccino, Il Prete Genovese) Strozzi) | Q17338491 (Allegory of the arts: painting by Gerard de Lairesse) | Q19912873 (Allegory of the Arts: painting by Jacob de Wit) | Q21614674 (Allegory of the Arts: painting by Theodor Boeijermans) | Q64798767 (Allegory of the Arts: painting by Pompeo Girolamo Batoni at the Städel Museum, Frankfurt, Germany)"
Manual,Unmatched (Manual),,,Allegory of the Education of the Crown Prince of the Palatinate,A13,,work-English_table.csv,Unmatched Manual & Non-Q ID,Allegory of the Education of the Crown of the Palatinate,Person (Reclassified),,,,No match found
Manual,Unmatched (Manual),,,Altar Paintings for the Parish Church of San Canciano,A18,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altar Paintings for the Parish Church of San Canciano,Work,,,,No match found
Manual,Unmatched (Manual),,,Altar of Friendship,A15,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altar of Friendship,Work,,,,No match found
Manual,Unmatched (Manual),,,Altar of Friendship,G22,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Altar of Friendship,Place,,,,No match found
Manual,Unmatched (Manual),,,Altar of Tranquility and Rural Life,A16,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altar of Tranquility and Rural Life,Work,,,,No match found
Manual,Unmatched (Manual),,,Altar of Wealth and Apollo,A17,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altar of Wealth and Apollo,Work,,,,No match found
Manual,Unmatched (Manual),,,Altarpiece for Chiesa Nuova,A19,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altarpiece for Chiesa Nuova,Work,,,,No match found
Manual,Unmatched (Manual),,,Altarpiece for Santa Maria dei Cappuccini,A20,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altarpiece for Santa Maria dei Cappuccini,Work,,,,No match found
Manual,Unmatched (Manual),,,Altarpiece for St. Sebastian,A21,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altarpiece for Saint Sebastian,Work,,,,No match found
Manual,Unmatched (Manual),,,Altarpiece for the Augustinian Church,A22,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altarpiece for the Augustinian Church,Work,,,,No match found
Manual,Unmatched (Manual),,,Altarpieces for the Royal Chapel,A23,,work-English_table.csv,Unmatched Manual & Non-Q ID,Altarpieces for the Royal Chapel,Work,,,,No match found
Manual,Unmatched (Manual),,,Altero Matteoli,R7,,name-English_table.csv,Unmatched Manual & Non-Q ID,Altero Matteoli,Person,Q438845,Altero Matteoli,Italian politician (1940-2017),Q438845 (Altero Matteoli: Italian politician (1940-2017))
Manual,Unmatched (Manual),,,Altieri,G51,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Altieri,Place,Q21449562,Altieri,family name,Q21449562 (Altieri: family name) | Q3613194 (House of Altieri: Italian noble family) | Q52179599 (Altieri: article in Otto's encyclopedia) | Q103889839 (Altieri: encyclopedia article) | Q16945758 (Althiery Dorival: Haitian artist)
Manual,Unmatched (Manual),,,Andromache weeping before Aeneas,A24,,work-English_table.csv,Unmatched Manual & Non-Q ID,Andromache weeping before Aeneas,Work,,,,No match found
Manual,Unmatched (Manual),,,Angelica Griè,R12,,name-English_table.csv,Unmatched Manual & Non-Q ID,Angelica Griè,Person,,,,No match found
Manual,Unmatched (Manual),,,Angelo Contarini,R13,,name-English_table.csv,Unmatched Manual & Non-Q ID,Angelo Contarini,Person,Q55226769,Angelo Contarini,,Q55226769 (Angelo Contarini: )
Manual,Unmatched (Manual),,,Angelo Custode,A25,,work-English_table.csv,Unmatched Manual & Non-Q ID,Angelo Custode,Work,Q24938932,Angelo Custode,"church building in Palermo, Italy","Q24938932 (Angelo Custode: church building in Palermo, Italy) | Q54870387 (Angelo Custode: building in Ascoli Piceno, Italy) | Q52800720 (Angelo Custode: primary school in Palermo, Palermo, Sicily, Italy) | Q120851309 (Angelo custode: chapel in Ranzo, Italy) | Q52973542 (Angelo Custode: kindergarten in Alessandria, Alessandria, Piedmont, Italy)"
Manual,Unmatched (Manual),,,Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,A26,,work-English_table.csv,Unmatched Manual & Non-Q ID,Angels carrying the Instruments of the Passion and of Saint Philip in Ecstasy,Work,,,,No match found
Manual,Unmatched (Manual),,,Animals and Figures in the Flemish Style|des animaux et figures à la flamande,A27,,work-English_table.csv,Unmatched Manual & Non-Q ID,Animals and Figures in the Flemish Style|des animaux et figures à la flamande,Work,,,,No match found
Manual,Unmatched (Manual),,,Annamaria Gabrielli,R14,,name-English_table.csv,Unmatched Manual & Non-Q ID,Annamaria Gabrielli,Person,,,,No match found
Manual,Unmatched (Manual),,,Annan Gallery,G145,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Annan Gallery,Place,,,,No match found
Manual,Unmatched (Manual),,,Annunciation,A28,,work-English_table.csv,Unmatched Manual & Non-Q ID,Annunciation,Work,Q154326,Annunciation,announcement of the birth of Jesus to Mary,Q154326 (Annunciation: announcement of the birth of Jesus to Mary) | Q3202069 (The Annunciation: painting by Sandro Botticelli in the Metropolitan Museum of Art) | Q135642182 (Annunciation: painting by Juan de Bustamante) | Q135726535 (Annunciation: painting by Maestro di San Martino a Mensola) | Q135616330 (Annunciation: painting by Francesco Bissolo)
Manual,Unmatched (Manual),,,Annunziata,G101,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Annunziata,Place,Q37499908,Annunziata,family name,"Q37499908 (Annunziata: family name) | Q567412 (Annunziata: female given name) | Q112660882 (Annunziata: human settlement in Luni, Italy) | Q18504706 (Annunziata: human settlement in La Morra, Italy) | Q55133388 (Annunziata: Roman Catholic church in Chieri, Italy)"
Manual,Unmatched (Manual),,,Antichiesetta,G55,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Antichiesetta,Place,,,,No match found
Manual,Unmatched (Manual),,,Antichita di Palazzi,A29,,work-English_table.csv,Unmatched Manual & Non-Q ID,Antichita di Palazzi,Work,,,,No match found
Manual,Unmatched (Manual),,,Anton Francesco Goli,R17,,name-English_table.csv,Unmatched Manual & Non-Q ID,Anton Francesco Goli,Person,,,,No match found
Manual,Unmatched (Manual),,,Antonio Paluello,R19,,name-English_table.csv,Unmatched Manual & Non-Q ID,Antonio Paluello,Person,,,,No match found
Manual,Unmatched (Manual),,,Antonio Pitteri,R61,,name-English_table.csv,Unmatched Manual & Non-Q ID,Antonio Pitteri,Person,,,,No match found
Manual,Unmatched (Manual),,,Apollo and the Muses,A30,,work-English_table.csv,Unmatched Manual & Non-Q ID,Apollo and the Muses,Work,Q60479765,Apollo and the Muses,painting series by Charles Meynier,"Q60479765 (Apollo and the Muses: painting series by Charles Meynier) | Q27895639 (Apollo and the Muses: painting by Domenico Tintoretto) | Q110316131 (Apollo and the Muses: painting by Maerten van Heemskerck, New Orleans Museum of Art) | Q20540257 (Apollo and the Muses: painting by Jacopo Amigoni) | Q64513912 (Apollo and the Muses: painting by Benvenuto di Giovanni di Meo del Guasta)"
Manual,Unmatched (Manual),,,Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,A31,,work-English_table.csv,Unmatched Manual & Non-Q ID,Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,Work,,,,No match found
Manual,Unmatched (Manual),,,Apostles,A32,,work-English_table.csv,Unmatched Manual & Non-Q ID,Apostles,Work,Q16167540,Apostles,Twelve marble sculptures located in the Church of San Pietro in Oliveto,"Q16167540 (Apostles: Twelve marble sculptures located in the Church of San Pietro in Oliveto) | Q71110799 (Apostles: group of paintings in the Oratorio dei battuti, Florence) | Q51646 (Apostles' Creed: early statement of Christian belief) | Q16953556 (The Apostles: 2013 film directed by Joe Chien) | Q85876634 (Apostles: 2022 Hong Kong film directed by Scud)"
Manual,Unmatched (Manual),,,Apostolic Chamber of Commerc,G164,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Apostolic Chamber of Commerc,Place,,,,No match found
Manual,Unmatched (Manual),,,Apotheosis of Aeneas,A33,,work-English_table.csv,Unmatched Manual & Non-Q ID,Apotheosis of Aeneas,Work,Q20539911,Apotheosis of Aeneas,painting by Giovanni Battista Tiepolo,Q20539911 (Apotheosis of Aeneas: painting by Giovanni Battista Tiepolo)
Manual,Unmatched (Manual),,,Apotheosis of the Pisani,A34,,work-English_table.csv,Unmatched Manual & Non-Q ID,Apotheosis of the Pisani,Work,,,,No match found
Manual,Unmatched (Manual),,,Arch. del Gov. di Roma,G154,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Arch. del Gov. di Roma,Place,,,,No match found
Manual,Unmatched (Manual),,,Archiginnasio,G116,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archiginnasio,Place,Q3621535,Archiginnasio,Wikimedia disambiguation page,Q1476981 (Palazzo dell’Archiginnasio: palace in Bologna) | Q209344 (Sapienza University of Rome: Italian university founded in Rome in 1303) | Q16167863 (Archiginnasio d'oro: ) | Q3621535 (Archiginnasio: Wikimedia disambiguation page)
Manual,Unmatched (Manual),,,Archivio Comunale,G95,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archivio Comunale,Place,,,,"Q604177 (Municipal Archive: accumulation of historical records of a town or city) | Q100685054 (Archivio comunale di Busto Arsizio: ) | Q81176304 (Archivio del Comune di Agliana: archival institution in Tuscany, Italy. Member of REDOP-Rete documentaria della provincia di Pistoia.) | Q85143073 (Archivio comunale di Bagno a Ripoli: ) | Q53255862 (Archivio comunale Amelia: )"
Manual,Unmatched (Manual),,,Archivio Comunale di Treviso,G143,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archivio Comunale di Treviso,Place,,,,No match found
Manual,Unmatched (Manual),,,Archivio Mediceo,G146,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archivio Mediceo,Place,,,,No match found
Manual,Unmatched (Manual),,,Archivio Storico per la Province Napoletane,G167,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archivio Storico per la Province Napoletane,Place,,,,No match found
Manual,Unmatched (Manual),,,Archivio di Stato,G67,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archivio di Stato,Place,,,,Q50945239 (State Archives of Prato: archives in Italy) | Q45031524 (State Archives of Livorno: archives in Italy) | Q3621657 (State Archives of Modena: state archive in Italy) | Q45031514 (State Archives of Cuneo: archives in Italy) | Q45031532 (State Archives of Pescara: state archive in Italy)
Manual,Unmatched (Manual),,,Archiviodella Compagnia di Gesù,G166,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Archiviodella Compagnia di Gesù,Place,,,,No match found
Manual,Unmatched (Manual),,,Arena Chapel,G41,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Arena Chapel,Place,Q26903165,Frescoes in the Scrovegni Chapel,Frescos by Giotto di Bondone and Anonymous in Padua,Q26903165 (Frescoes in the Scrovegni Chapel: Frescos by Giotto di Bondone and Anonymous in Padua)
Manual,Unmatched (Manual),,,Argus guarding,A35,,work-English_table.csv,Unmatched Manual & Non-Q ID,Argus guarding,Work,,,,"Q130281095 (Argus Guarding Io Who Has Been Transformed into a White Heifer: painting by Jacopo Amigoni) | Q119637459 (Argus Guarding Io Who Has Been Transformed into a White Heifer: painting by Jacopo Amigoni (c.1682–1752), Moor Park Mansion)"
Manual,Unmatched (Manual),,,Ariadne being woken by Love,A36,,work-English_table.csv,Unmatched Manual & Non-Q ID,Ariadne being woken by Love,Work,,,,No match found
Manual,Unmatched (Manual),,,Arnaldi Lodovico,R120,,name-English_table.csv,Unmatched Manual & Non-Q ID,Arnaldi Lodovico,Person,,,,No match found
Manual,Unmatched (Manual),,,Art Institute of Chicago Robert A. Waller Fund,G93,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Art Institute of Chicago Robert A. Waller Fund,Place,,,,No match found
Manual,Unmatched (Manual),,,"Arts Graphiques de la Cité,Agraci",G87,,gio-English_table.csv,Unmatched Manual & Non-Q ID,"Arts Graphiques de la Cité,Agraci",Place,,,,No match found
Manual,Unmatched (Manual),,,Augustinian Monastery Altarpiece,A305,,work-English_table.csv,Unmatched Manual & Non-Q ID,Augustinian Monastery Altarpiece,Work,,,,No match found
Manual,Unmatched (Manual),,,Augustinian church,G111,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Augustinian church,Place,Q693869,Augustinian Church,church in Vienna,"Q693869 (Augustinian Church: church in Vienna) | Q55028323 (Augustinian Church: church in Galway, County Galway, Ireland) | Q110935972 (Holy Cross Church: roman-catholic church building in Landau) | Q55028956 (St Augustine's Church: church in Drogheda, County Louth, Ireland) | Q38426385 (Augustinian church of Villefranche-de-Rouergue: church located in Aveyron, in France)"
Manual,Unmatched (Manual),,,Avviso,G131,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Avviso,Place,Q4829575,Avviso,avviso History and beginning of Renaissance,"Q4829575 (Avviso: avviso History and beginning of Renaissance) | Q109244929 (Avviso al pubblico: comic melodramma in 2 acts composed by Giuseppe Mosca. First representation in 1814 at Teatro alla Scala, Milan) | Q104629487 (Avviso al lettore: epigram by Vittorio Alfieri) | Q112820158 (Avviso al lettore: 1912 Italian edition of the epigram by Vittorio Alfieri) | Q782984 (aviso: ship type)"
Manual,Unmatched (Manual),,,Babylon,A37,,work-English_table.csv,Unmatched Manual & Non-Q ID,Babylon,Work,Q1750870,Babylon,"town in Long Island, New York, United States","Q1750870 (Babylon: town in Long Island, New York, United States) | Q17150409 (Babylon: episode of Mad Men (S1 E6)) | Q66622287 (Babylon: instrumental recording by Kevin MacLeod) | Q5684 (Babylon: capital city of Babylonia and an archaeological site in modern-day Iraq) | Q106588407 (Babylon: given name)"
Manual,Unmatched (Manual),,,Bacchanalia,A39,,work-English_table.csv,Unmatched Manual & Non-Q ID,Bacchanalia,Work,Q331341,Bacchanalia,Roman mystery cults of the wine god and seer Bacchus,Q331341 (Bacchanalia: Roman mystery cults of the wine god and seer Bacchus) | Q9163851 (Bacchanalia: painting by Peter Paul Rubens) | Q21727906 (Bacchanalia: painting by Nicolas Chapron) | Q27968481 (Bacchanalia: painting by Nicolas Chapron (Hermitage ГЭ-1165)) | Q56479420 (Bacchanalia: painting by Cornelius van Poelenburgh)
Manual,Unmatched (Manual),,,Bacchus,A38,,work-English_table.csv,Unmatched Manual & Non-Q ID,Bacchus,Work,Q645312,Bacchus,ancient Roman deity of wine,Q645312 (Bacchus: ancient Roman deity of wine) | Q36901443 (Bacchus: family name) | Q2011510 (Bacchus: painting by Caravaggio) | Q683204 (Bacchus: opera by Jules Massenet) | Q147273 (2063 Bacchus: asteroid)
Manual,Unmatched (Manual),,,Bacchus and Ariadne,A40,,work-English_table.csv,Unmatched Manual & Non-Q ID,Bacchus and Ariadne,Work,Q1206860,Bacchus and Ariadne,painting by Titian,"Q1206860 (Bacchus and Ariadne: painting by Titian) | Q18573889 (Bacchus and Ariadne: painting by Giambattista Pittoni in the Louvre, Paris) | Q17347652 (Bacchus and Ariadne: painting by Gerard de Lairesse) | Q27701434 (Bacchus and Ariadne: painting by Erasmus Quellinus) | Q22993308 (Bacchus and Ariadne: painting by Giambattista Pittoni in Warsaw)"
Manual,Unmatched (Manual),,,Barberini Chapel in S. Andrea della Valle,A41,,work-English_table.csv,Unmatched Manual & Non-Q ID,Barberini Chapel in San Andrea della Valle,Work,,,,No match found
Manual,Unmatched (Manual),,,Barberini Chapelin S.Andreadella Valle),A42,,work-English_table.csv,Unmatched Manual & Non-Q ID,Barberini Chapelin SanAndreadella Valle),Work,,,,No match found
Manual,Unmatched (Manual),,,Barberini library,G147,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Barberini library,Place,,,,No match found
Manual,Unmatched (Manual),,,Basilica of Santa Cecilia in Bologna,G28,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Basilica of Santa Cecilia in Bologna,Place,,,,No match found
Manual,Unmatched (Manual),,,Basilicas,G112,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Basilicas,Place,,,,Q4846867 (basilica: church building of the Catholic Church specially designated by the pope) | Q163687 (basilica: building type of a church) | Q15117695 (Basilicas San Lorenzo and San Sebastiano: painting by a master L. F.) | Q3895557 (Basilicas Park: urban park in Milan) | Q15873198 (Basilicas in Slovakia: Wikimedia list article)
Manual,Unmatched (Manual),,,Batlisheba Bathing,A43,,work-English_table.csv,Unmatched Manual & Non-Q ID,Batlisheba Bathing,Work,,,,No match found
Manual,Unmatched (Manual),,,Battaria di Cusina,A44,,work-English_table.csv,Unmatched Manual & Non-Q ID,Battaria di Cusina,Work,,,,No match found
Manual,Unmatched (Manual),,,Battistela,G128,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Battistela,Place,,,,No match found
Manual,Unmatched (Manual),,,Beatae Mariae Virginis Officium,A417,,work-English_table.csv,Unmatched Manual & Non-Q ID,Beatae Mariae Virginis Officium,Work,,,,No match found
Manual,Unmatched (Manual),,,Beggar holding a Rosary,A45,,work-English_table.csv,Unmatched Manual & Non-Q ID,Beggar holding a Rosary,Work,,,,No match found
Manual,Unmatched (Manual),,,Bell Towers for St. Peter's Basilica (demolished),A418,,work-English_table.csv,Unmatched Manual & Non-Q ID,Bell Towers for Saint Peter's Basilica (demolished),Work,,,,No match found
Manual,Unmatched (Manual),,,Bensburg Castle,G15,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Bensburg Castle,Place,,,,No match found
Manual,Unmatched (Manual),,,Bergamasque community,G68,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Bergamasque community,Place,,,,No match found
Manual,Unmatched (Manual),,,Biblioceca Estense,G151,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Biblioceca Estense,Place,,,,No match found
Manual,Unmatched (Manual),,,Biblioteca Correr,G1,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Biblioteca Correr,Place,,,,No match found
Manual,Unmatched (Manual),,,Biblioteca Govemadva,G69,,gio-English_table.csv,Unmatched Manual & Non-Q ID,Biblioteca Govemadva,Place,,,,No match found
